nohup: ignoring input
第0个epoch:
第0个epoch:
tensor(1.5677, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3933, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4466, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4301, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2740, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3368, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3996, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2477, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4005, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4827, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3020, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3542, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3224, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3032, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3599, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3510, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3984, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3215, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3205, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3014, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4543, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3445, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1736, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2229, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4149, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2339, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3302, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1922, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3434, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3272, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4207, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4367, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3829, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3642, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2348, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2901, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3157, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2979, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3195, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4281, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4079, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1913, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4240, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2793, device='cuda:1', grad_fn=<DivBackward0>)
